You entered a buffer length of 20
2.201188,-1.445731, Max:2.243202, Min:-1.760158
2.213192,-1.236442, Max:2.243202, Min:-1.760158
2.213192,-1.027310, Max:2.243202, Min:-1.760158
2.213192,-0.818186, Max:2.243202, Min:-1.760158
2.213192,-0.609063, Max:2.243202, Min:-1.760158
2.213192,-0.399939, Max:2.243202, Min:-1.760158
2.213192,-0.190815, Max:2.243202, Min:-1.760158
2.213192,0.020109, Max:2.249205, Min:-1.760158
2.213192,0.227822, Max:2.249205, Min:-1.760158
2.213192,0.436576, Max:2.249205, Min:-1.760158
2.213192,0.639979, Max:2.249205, Min:-1.760158
1.889082,0.810704, Max:2.249205, Min:-1.760158
1.438929,0.973792, Max:2.249205, Min:-1.760158
1.030791,1.140701, Max:2.249205, Min:-1.760158
0.646660,1.309301, Max:2.249205, Min:-1.760158
0.322550,1.486388, Max:2.249205, Min:-1.760158
0.040454,1.666300, Max:2.249205, Min:-1.760158
-0.211632,1.849655, Max:2.249205, Min:-1.760158
-0.439709,2.036183, Max:2.249205, Min:-1.760158
-0.607767,2.173953, Max:2.249205, Min:-1.760158
-0.811836,2.019387, Max:2.249205, Min:-1.760158
-0.889863,1.846903, Max:2.249205, Min:-1.760158
-0.967889,1.674423, Max:2.249205, Min:-1.760158
-1.063922,1.502243, Max:2.249205, Min:-1.760158
-1.141948,1.329779, Max:2.249205, Min:-1.760158
-1.225977,1.156699, Max:2.249205, Min:-1.760158
-1.358022,0.980288, Max:2.249205, Min:-1.760158
-1.472060,0.804311, Max:2.249205, Min:-1.760158
-1.616109,0.625955, Max:2.249205, Min:-1.760158
-1.718144,0.453781, Max:2.249205, Min:-1.760158
-1.754156,0.287319, Max:2.249205, Min:-1.760158
-1.760158,0.123543, Max:2.249205, Min:-1.760158
-1.760158,-0.039799, Max:2.249205, Min:-1.760158
-1.760158,-0.203118, Max:2.249205, Min:-1.760158
-1.760158,-0.366437, Max:2.249205, Min:-1.760158
-1.760158,-0.529756, Max:2.249205, Min:-1.760158
-1.760158,-0.693074, Max:2.249205, Min:-1.760158
-1.760158,-0.856393, Max:2.249205, Min:-1.760158
-1.760158,-1.019712, Max:2.249205, Min:-1.760158
-1.760158,-0.984363, Max:2.249205, Min:-1.760158
-1.760158,-1.026110, Max:2.249205, Min:-1.760158
-1.760158,-1.071712, Max:2.249205, Min:-1.760158
-1.760158,-1.117507, Max:2.249205, Min:-1.760158
-1.742152,-1.160311, Max:2.249205, Min:-1.760158
-1.676130,-1.198163, Max:2.249205, Min:-1.760158
-1.586099,-1.235168, Max:2.249205, Min:-1.760158
-1.520077,-1.274231, Max:2.249205, Min:-1.760158
-1.454054,-1.312496, Max:2.249205, Min:-1.760158
-1.346018,-1.344720, Max:2.249205, Min:-1.760158
-1.153952,-1.368238, Max:2.249205, Min:-1.760158
-0.847848,-1.376617, Max:2.249205, Min:-1.760158
-0.301663,-1.360530, Max:2.249205, Min:-1.760158
0.514615,-1.310509, Max:2.249205, Min:-1.760158
1.636997,-1.255790, Max:2.249205, Min:-1.760158
2.063141,-1.262958, Max:2.249205, Min:-1.760158
2.177180,-1.298428, Max:2.249205, Min:-1.760158
2.201188,-1.341615, Max:2.249205, Min:-1.760158
2.177180,-1.388190, Max:2.249205, Min:-1.760158
