20Fast ,100Fast,turtle100,turtle
-0.318562,-0.318562,0.476188,0.488229
-0.318562,-0.318562,0.506292,0.506292
-0.312541,-0.312541,0.530375,0.530375
-0.288458,-0.288458,0.530375,0.530375
-0.258354,-0.258354,0.506292,0.506292
-0.234271,-0.234271,0.458125,0.458125
-0.222229,-0.222229,0.446083,0.446083
-0.204166,-0.204166,0.422,0.422
-0.186104,-0.186104,0.409958,0.409958
-0.174062,-0.174062,0.403938,0.403938
-0.156,-0.156,0.391896,0.391896
-0.149979,-0.149979,0.373834,0.373834
-0.143958,-0.143958,0.34975,0.34975
-0.137937,-0.137937,0.355771,0.355771
-0.125896,-0.125896,0.331688,0.331688
-0.113854,-0.113854,0.313625,0.313625
-0.089771,-0.089771,0.295563,0.295563
-0.071708,-0.071708,0.2775,0.2775
-0.059666,-0.059666,0.271479,0.271479
-0.047625,-0.047625,0.247396,0.247396
-0.035583,-0.035583,0.223313,0.223313
-0.023541,-0.023541,0.211271,0.211271
-0.023541,-0.023541,0.199229,0.199229
-0.035583,-0.035583,0.193208,0.193208
-0.047625,-0.047625,0.193208,0.193208
-0.053646,-0.053646,0.175146,0.175146
-0.047625,-0.047625,0.145042,0.145042
-0.053646,-0.053646,0.108917,0.108917
-0.077729,-0.077729,0.066771,0.066771
-0.095791,-0.095791,0.018604,0.018604
-0.101812,-0.101812,-0.029562,-0.029562
-0.095791,-0.095791,-0.059666,-0.059666
-0.047625,-0.047625,-0.095791,-0.095791
0.036667,0.036667,-0.119875,-0.119875
0.139021,0.139021,-0.143958,-0.143958
0.229334,0.229334,-0.162021,-0.162021
0.337708,0.337708,-0.149979,-0.149979
0.440063,0.440063,-0.162021,-0.162021
0.644771,0.644771,-0.204166,-0.204166
0.825396,0.825396,-0.234271,-0.234271
0.729063,0.843458,-0.258354,-0.258354
0.560479,0.560479,-0.264375,-0.264375
0.169125,0.169125,-0.252333,-0.252333
-0.204166,-0.204166,-0.246312,-0.246312
-0.420916,-0.420916,-0.276416,-0.276416
