You entered a buffer length of 100
-0.037573,0.319440, Max:1.336895, Min:-0.619771
-0.013565,0.313680, Max:1.336895, Min:-0.619771
-0.013565,0.307620, Max:1.336895, Min:-0.619771
-0.025569,0.301318, Max:1.336895, Min:-0.619771
-0.043575,0.294892, Max:1.336895, Min:-0.619771
-0.067583,0.288346, Max:1.336895, Min:-0.619771
-0.085589,0.281858, Max:1.336895, Min:-0.619771
-0.109597,0.285395, Max:1.336895, Min:-0.619771
-0.127603,0.281109, Max:1.336895, Min:-0.619771
-0.121601,0.277224, Max:1.336895, Min:-0.619771
-0.103595,0.273464, Max:1.336895, Min:-0.619771
-0.073585,0.270006, Max:1.336895, Min:-0.619771
-0.037573,0.266610, Max:1.336895, Min:-0.619771
-0.001561,0.263215, Max:1.336895, Min:-0.619771
0.034452,0.259880, Max:1.336895, Min:-0.619771
0.100474,0.256965, Max:1.336895, Min:-0.619771
0.142488,0.253815, Max:1.336895, Min:-0.619771
0.196507,0.250723, Max:1.336895, Min:-0.619771
0.238521,0.247511, Max:1.336895, Min:-0.619771
0.268531,0.243997, Max:1.336895, Min:-0.619771
0.316548,0.240841, Max:1.336895, Min:-0.619771
0.364564,0.237508, Max:1.336895, Min:-0.619771
